Title,Number,Abbreviation,AvgWorkloadRating,AvgDifficultyRating,AvgUtilityRating
Management Of Clients With Complex Health Issues,41601,NUR,0,0,0
Corporate Mergers And Acquisitions,41601,MGMT,0,0,0
Design/Build For Mep Contractors,41700,BCM,0,0,0
Statistical Theory,41700,STAT,0,0,0
"Robots, Art, And Culture",41700,AD,0,0,0
Computer Games,41700,AD,0,0,0
Leadership In Nursing,41701,NUR,0,0,0
Advanced Criminalistics,41800,ENTM,0,0,0
Properties Of Wood Related To Manufacturing,41800,FNR,0,0,0
Applied Small Animal Behavior,41800,VCS,0,0,0
Zero-Gravity Flight Experiment,41800,AAE,0,0,0
European Society And Culture 1450-1800,41800,HIST,0,0,0
Selling And Sales Management Capstone,41800,CSR,0,0,0
Clinical Capstone And Issues In Professional Practice,41801,NUR,0,0,0
Internship In Environmental Geosciences,41900,EAS,0,0,0
Internship In Environmental Geosciences,41900,EAPS,0,0,0
Understanding Autism,41900,SLHS,0,0,0
Professnl Development In SLHS,41900,SLHS,0,0,0
SLHS Learning Community,41900,SLHS,0,0,0
Judgment And Decision Making,41900,COM,0,0,0
Anat Phys Speech Hear,41900,SLHS,0,0,0
Managerial Economics,41900,ECON,0,0,0
Multimedia Writing,41900,ENGL,0,0,0
Acous Bases Spch/Hear,41900,SLHS,0,0,0
Directed Tutoring In Spanish,41900,SPAN,0,0,0
Furniture And Cabinet Design And Manufacture,41900,FNR,0,0,0
Topics In Research,41900,SLHS,0,0,0
Sociology Of Law,41900,SOC,0,0,0
Furniture Product Development And Strength Design,41910,FNR,0,0,0
Tudors In Lit & Film,42000,MARS,0,0,0
Applied Anatomy for Medicine,42000,HSCI,0,0,0
Process Safety Management,42000,CHE,0,0,0
Developmental Foundations Of Infant And Toddler Curriculum,42000,HDFS,0,0,0
Ornamental Plant Production,42000,HORT,0,0,0
Eukaryotic Cell Biology,42000,BIOL,0,0,0
Ren Mind:Florence 1250-1550,42000,MARS,0,0,0
Business Writing,42000,ENGL,0,0,0
Global Change Modeling,42000,EAS,0,0,0
Process Safety Management And Analysis,42000,CHE,0,0,0
Environmental Internship Reporting,42000,NRES,0,0,0
Global Change Modeling,42000,EAPS,0,0,0
Introduction To Time Series,42000,STAT,0,0,0
Introduction To Developmental Speech And Language Disorders,42000,SLHS,0,0,0
Ren Mind:Florence 1300-1600,42000,MARS,0,0,0
Basic Cyber Forensics,42000,CNIT,0,0,0
Beowulf To Shakespeare,42000,MARS,0,0,0
Electric Power And Controls,42000,ASM,0,0,0
Plant Cellular And Developmental Biology,42000,BTNY,0,0,0
Radiation Interaction With Materials And Applications,42001,NUCL,0,0,0
The Teaching Of Biology In Secondary Schools,42100,EDCI,0,0,0
Linear Programming And Optimization Techniques,42100,MA,0,0,0
Atmospheric Thermodynamics,42100,EAPS,0,0,0
Air Conditioning And Refrigeration,42100,MET,0,0,0
Fruit Production,42100,HORT,0,0,0
Flight Dynamics And Control,42100,AAE,0,0,0
Health Screening And Fitness Evaluation And Design,42100,HK,0,0,0
Senior Seminar,42100,ASM,0,0,0
Atmospheric Thermodynamics,42100,EAS,0,0,0
Advanced Commodity Marketing,42100,AGEC,0,0,0
Apparel Design III,42100,CSR,0,0,0
Technical Writing,42100,ENGL,0,0,0
Philosophy Of Science,42100,PHIL,0,0,0
Disaster Restoration And Reconstruction Industry Problem Investigation,42100,BCM,0,0,0
Honors Historical Methods,42100,HIST,0,0,0
Small Scale Digital Device Forensics,42100,CNIT,0,0,0
Alcohol Use And Disorders,42100,PSY,0,0,0
Juvenile Delinquency,42100,SOC,0,0,0
Advanced Studies In Photography And Related Media I,42100,AD,0,0,0
Managerial Economics In Aviation,42101,AT,0,0,0
Marketing Analytics,42110,MGMT,0,0,0
Power Plants And Energy Conversion,42200,MET,0,0,0
Public Finance And Taxation,42200,ECON,0,0,0
Immunology,42200,MCMP,0,0,0
Computer Networks,42200,CS,0,0,0
Basic Concepts In Exercise Program Design,42200,HK,0,0,0
Genes and Behavior,42200,PSY,0,0,0
Introduction To The Immune System And Applications to Immunologic And Genetic Therapies,42200,MCMP,0,0,0
The Teaching Of English In Secondary Schools,42200,EDCI,0,0,0
Advanced Studies In Photography  And Related Media II,42200,AD,0,0,0
Honors Thesis In Historical Research,42200,HIST,0,0,0
Atmospheric Dynamics I,42200,EAPS,0,0,0
Vegetable And Herb Production,42200,HORT,0,0,0
Advanced Machine Technology For Agricultural Crop Production,42200,ASM,0,0,0
Atmospheric Dynamics I,42200,EAS,0,0,0
Waves And Oscillations,42200,PHYS,0,0,0
Introduction To Developmental Speech And Language Disorders Of Exceptional Children,42200,SLHS,0,0,0
Aerospace Risk Management,42201,AT,0,0,0
Writing For The Health And Human Sciences,42201,ENGL,0,0,0
International Marketing,42210,MGMT,0,0,0
Field Practicum In Sociology And Law And Society,42300,SOC,0,0,0
Atmospheric Dynamics II,42300,EAPS,0,0,0
Atmospheric Dynamics II,42300,EAS,0,0,0
The Teaching Of Social Studies In Secondary Schools,42300,EDCI,0,0,0
New Product Development,42300,MGMT,0,0,0
Electromechanical Motion Control,42300,ECE,0,0,0
International Environmental Policy,42300,POL,0,0,0
Divided Germany,42300,HIST,0,0,0
Apparel Portfolio/Professional Development,42300,CSR,0,0,0
Field Practicum In Criminal Justice,42300,SOC,0,0,0
Product Data Management,42300,CGT,0,0,0
Electrical Vehicle Integration And Fabrication,42301,ECET,0,0,0
Green Processes And Sustainability,42400,MET,0,0,0
Recent Ethical Theory,42400,PHIL,0,0,0
Business Spanish,42400,SPAN,0,0,0
Writing For High Technology Industries,42400,ENGL,0,0,0
Analytical Chemistry II,42400,CHM,0,0,0
Communication Techniques In Foods And Nutrition,42400,NUTR,0,0,0
Business Russian,42400,RUSS,0,0,0
Business French,42400,FR,0,0,0
Business German,42400,GER,0,0,0
Communication Techniques In Foods And Nutrition,42400,FN,0,0,0
Writing For The Computer Industry,42400,ENGL,0,0,0
Fine Arts Senior Exhibition,42400,AD,0,0,0
Wireless Systems: Design And Measurement,42400,ECET,0,0,0
Financial Management Of Agricultural Business,42400,AGEC,0,0,0
Health And Fitness Program Management,42400,HK,0,0,0
The Teaching Of Earth And Physical Science In The Secondary Schools,42400,EDCI,0,0,0
Secondary Wood Products Manufacturing,42500,FNR,0,0,0
Landscape Horticulture Capstone Project,42500,HORT,0,0,0
Veterinary Technician Grand Rounds,42500,VM,0,0,0
Elements Of Complex Analysis,42500,MA,0,0,0
Estate Planning And Property Transfer,42500,AGEC,0,0,0
Anthropological Archaeology,42500,ANTH,0,0,0
Teaching Of Mathematics In Secondary Schools,42500,EDCI,0,0,0
Metaphysics,42500,PHIL,0,0,0
Environmental Law And Politics,42500,POL,0,0,0
Construction Practice Project,42500,CEM,0,0,0
Dean's Executive Pharmacy Forum,42500,PHRM,0,0,0
Marketing Research,42500,MGMT,0,0,0
Industry Applications Of Simulation And Visualization,42600,CGT,0,0,0
Internal Combustion Engines,42600,MET,0,0,0
Lab In Community Nutrition,42600,NUTR,0,0,0
Capstone Course In Landscape Architecture,42600,LA,0,0,0
Social Deviance And Control,42600,SOC,0,0,0
Computer Security,42600,CS,0,0,0
Teaching Mathematics In The Middle And Junior High School,42600,EDCI,0,0,0
Brand Management,42610,MGMT,0,0,0
The Teaching Of Modern Foreign Languages In Secondary Schools,42700,EDCI,0,0,0
Advanced Agribusiness Marketing,42700,AGEC,0,0,0
"Careers, Communication Issues And Strategies",42700,COM,0,0,0
History Of Spain And Portugal,42700,HIST,0,0,0
Pharmacy Leadership Seminar,42700,PHPR,0,0,0
Drugs And Behavior,42800,PSY,0,0,0
Introduction To Fourier Analysis,42800,MA,0,0,0
Human Resources Management,42800,OBHR,0,0,0
Teaching Science In The Middle And Junior High School,42800,EDCI,0,0,0
The Politics Of Regulation,42800,POL,0,0,0
Forensic Science Teaching,42890,ENTM,0,0,0
Science Technology & Policy,42900,POL,0,0,0
Politics Media & Pres Elect,42900,POL,0,0,0
"Climate, Science & Society",42900,POL,0,0,0
"The Communicators,Brian Lamb",42900,POL,0,0,0
Issues/Interviews W/Brian Lamb,42900,POL,0,0,0
Science Technology And Policy,42900,POL,0,0,0
The Politics/Ethics Of Food,42900,POL,0,0,0
The Politics Of NASCAR Nation,42900,POL,0,0,0
Leadership In Civic Com,42900,POL,0,0,0
Public Opinion & Elections,42900,POL,0,0,0
Politics Of NASCAR Nation,42900,POL,0,0,0
Agribusiness Marketing Workshop,42900,AGEC,0,0,0
Labor Relations,42900,OBHR,0,0,0
It's A Complex World,42900,POL,0,0,0
Politics And Media,42900,POL,0,0,0
The Politics Of Food-Honors,42900,POL,0,0,0
Methods Of Teaching Physical Education In Secondary Schools,42900,EDCI,0,0,0
Washington DC Practicum,42900,POL,0,0,0
Supreme Ct & Const Law,42900,POL,0,0,0
Race And American Politics,42900,POL,0,0,0
Public Opinion Polling,42900,POL,0,0,0
Communicators W/Brian Lamb,42900,POL,0,0,0
Sociology Of Protest-Honors,42900,SOC,0,0,0
"Climate, Science, And Society",42900,POL,0,0,0
Media Influe Conflt Envir,42900,POL,0,0,0
Bldg Democratic Inst,42900,POL,0,0,0
CSPAN:Com Democracy Thru Media,42900,POL,0,0,0
Digital Democracy,42900,POL,0,0,0
Political Communication,42900,POL,0,0,0
Am Political Communication,42900,POL,0,0,0
Poltics & Ethcs Of Food-Honors,42900,POL,0,0,0
Hormones And Behavior,42900,PSY,0,0,0
"Hlth, Sustain&Built Envirnmnt",42900,POL,0,0,0
Causes And Consequences Of War,43000,POL,0,0,0
Women In African History,43000,HIST,0,0,0
"War, Public Opin, US Frgn Pol",43000,POL,0,0,0
Causes & Consequences Of War,43000,POL,0,0,0
Industrial Ecology And Life Cycle Analysis,43000,EEE,0,0,0
Causes Of War,43000,POL,0,0,0
Electricity And Magnetism I Honors,43000,PHYS,0,0,0
Materials Processing And Design I,43000,MSE,0,0,0
Interior Design V,43000,AD,0,0,0
Introduction To Critical Care Pharmacotherapy,43000,CLPH,0,0,0
Agricultural And Food Business Strategy,43000,AGEC,0,0,0
Public Health Nutrition,43000,NUTR,0,0,0
Bargaining And Diplomacy,43000,POL,0,0,0
Power Engineering,43000,ME,0,0,0
Bargaining & Diplomacy,43000,POL,0,0,0
Electrical And Electronic Product And Program Management,43000,ECET,0,0,0
Intl Human Rights,43000,POL,0,0,0
Creating And Managing Learning Environments,43000,EDPS,0,0,0
THe Iraq Wars,43000,POL,0,0,0
Speech-Language Disorders In Health Care Settings,43000,SLHS,0,0,0
Human Development And Family Studies Student Mentors,43030,HDFS,0,0,0
Cooperative Education Seminar III,43099,ENGR,0,0,0
Visual Communications Design III,43100,AD,0,0,0
Contemporary Religious Thought,43100,PHIL,0,0,0
Electricity And Magnetism II Honors,43100,PHYS,0,0,0
Advanced Agri-Sales And Marketing,43100,AGEC,0,0,0
Industrial Engineering Design,43100,IE,0,0,0
Atmospheric Thermodynamics,43100,AGRY,0,0,0
Synoptic Laboratory I,43100,EAS,0,0,0
Synoptic Laboratory I,43100,EAPS,0,0,0
International Capstone Project Planning And Design,43100,ECET,0,0,0
Atmospheric Dynamics I,43200,AGRY,0,0,0
Synoptic Laboratory II,43200,EAS,0,0,0
The Teaching Of Health And Safety In Secondary Schools,43200,EDCI,0,0,0
Reproductive Physiology,43200,BIOL,0,0,0
Elements Of Power System Engineering,43200,ECE,0,0,0
Theory Of Knowledge,43200,PHIL,0,0,0
Hydraulic Motion Control Systems,43200,MET,0,0,0
Financial Transactions In Distribution,43200,IT,0,0,0
Selected Problems In World Order,43200,POL,0,0,0
Ethics In Pharmacy Practice,43200,PHPR,0,0,0
Visual Communications Design IV,43200,AD,0,0,0
Synoptic Laboratory II,43200,EAPS,0,0,0
The Teaching Of Social Studies In Junior High/Middle School,43300,EDCI,0,0,0
Community Pharmacy IPPE,43300,PHPR,0,0,0
Synoptic Lab III,43300,EAPS,0,0,0
Synoptic Laboratory III,43300,EAS,0,0,0
Supervised Aviation Experience,43300,AT,0,0,0
Power Electronics,43300,ECE,0,0,0
Acting IV: Acting Shakespeare,43300,THTR,0,0,0
Principles Of Turbomachinery,43300,ME,0,0,0
Acting: Workshop IV,43300,THTR,0,0,0
Atmospheric Dynamics II,43300,AGRY,0,0,0
Global Transportation And Logistics Management,43400,IT,0,0,0
Professional Practice For Visual Communication Designers,43400,AD,0,0,0
Literacy Teaching And Learning In Secondary Schools,43400,EDCI,0,0,0
Tree Physiology,43400,FNR,0,0,0
Institutional Pharmacy Introductory Pharmacy Practice Experience,43400,PHPR,0,0,0
Weather Analysis And Forecasting,43400,EAS,0,0,0
Gas Turbines For Power And Propulsion,43400,ME,0,0,0
Weather Analysis And Forecasting,43400,EAPS,0,0,0
Advanced Computer Graphics,43400,CS,0,0,0
The Teaching Of English In Junior High/Middle School,43400,EDCI,0,0,0
Chemical Engineering Laboratory,43500,CHE,0,0,0
Communication And Emerging Technologies,43500,COM,0,0,0
Com And Emerging Tech-Honors,43500,COM,0,0,0
Distribution Management Policy,43500,IT,0,0,0
Pediatric Pharmacotherapy,43500,CLPH,0,0,0
Supervised  Instructional Experience,43500,AT,0,0,0
Principles Of Marketing And Management For Horticultural Businesses,43500,HORT,0,0,0
Supervised Aircraft Maintenance Instructional Experience,43500,AT,0,0,0
Reproductive Management Of Farm Animals,43500,ANSC,0,0,0
Advanced Network Services,43500,CNIT,0,0,0
Sensory Science,43500,FS,0,0,0
Philosophy Of Mind,43500,PHIL,0,0,0
Student Teaching Seminar,43500,HK,0,0,0
Hydraulic Control Systems For Mobile Equipment,43500,ABE,0,0,0
International Law,43500,POL,0,0,0
Nutritional Assessment,43600,NUTR,0,0,0
Human Evolution,43600,ANTH,0,0,0
 Neurobiology,43600,BIOL,0,0,0
Pneumatic Motion Control Systems,43600,MET,0,0,0
"Electrical Power Transmissions, Distribution, And Smart Control",43600,ECET,0,0,0
Lean Six Sigma,43640,TLI,0,0,0
Clinical Leadership Development,43700,NUR,0,0,0
Computer Design And Prototyping,43700,ECE,0,0,0
Macronutrient Metabolism In Human Health And Disease,43700,FN,0,0,0
Macronutrient Metabolism In Human Health And Disease,43700,NUTR,0,0,0
Air-Breathing Propulsion,43800,AAE,0,0,0
Digital Signal Processing With Applications,43800,ECE,0,0,0
Gas Turbine Engines,43800,ME,0,0,0
Micronutrient And Phytochemical Metabolism In Human Health And Disease,43800,NUTR,0,0,0
General Microbiology,43800,BIOL,0,0,0
Airline Operations,43800,AT,0,0,0
History Of Russia From Medieval Times To 1861,43800,HIST,0,0,0
Rocket Propulsion,43900,AAE,0,0,0
Advanced Digital Signal Processing,43900,ECET,0,0,0
Laboratory In General Microbiology,43900,BIOL,0,0,0
Communist China,43900,HIST,0,0,0
Spacecraft Attitude Dynamics,44000,AAE,0,0,0
Horse Management,44000,ANSC,0,0,0
Leading With Integrity,44000,OLS,0,0,0
Cell And Molecular Design Principles,44000,ABE,0,0,0
Urban Hydraulics,44000,CE,0,0,0
Public Garden Management,44000,HORT,0,0,0
Automotive Prime Movers: Green Engines And Clean Fuel,44000,ME,0,0,0
Pathophysiology,44000,MCMP,0,0,0
Directing: Page To Stage,44000,THTR,0,0,0
Materials Processing And Design II,44000,MSE,0,0,0
Transmission Of Information,44000,ECE,0,0,0
Real Analysis Honors,44000,MA,0,0,0
Methods Of Teaching Agricultural Education,44000,YDAE,0,0,0
History Of Russia From 1861 To The Present,44000,HIST,0,0,0
Human Diseases And Disorders,44000,HK,0,0,0
Amphibious Warfare And Leadership,44000,NS,0,0,0
Interior Detailing And Construction,44000,AD,0,0,0
Distributed Parameter Systems,44100,ECE,0,0,0
Chaucer's Canterbury Tales,44100,ENGL,0,0,0
Biology Senior Seminar In Genetics,44100,BIOL,0,0,0
Occupational And Public Health For Veterinary Technicians,44100,VM,0,0,0
Forest Entomology,44100,ENTM,0,0,0
Beef Management,44100,ANSC,0,0,0
Forest Entomology,44100,FNR,0,0,0
Synoptic Laboratory I,44100,AGRY,0,0,0
Field Experience In Agricultural Education Programs,44100,YDAE,0,0,0
"Medicinal Chem & Molecular Pharm II(Pharmacodyamics, Endocrine & Paracrine Pharmacology)",44100,MCMP,0,0,0
Multivariate Analysis I Honors,44200,MA,0,0,0
Production Planning,44200,IT,0,0,0
Shakespeare,44200,ENGL,0,0,0
Food Processing II,44200,FS,0,0,0
Synoptic Laboratory II,44200,AGRY,0,0,0
Sustainability In The Managed Landscape,44200,HORT,0,0,0
Digital Film Production,44200,FVS,0,0,0
Management II,44200,VM,0,0,0
Foodservice Systems Management,44200,FN,0,0,0
Chemistry And Engineering Of High Polymers,44200,CHE,0,0,0
Ceramics III,44200,AD,0,0,0
Sheep Management,44200,ANSC,0,0,0
Medicinai Chemistry And Molecular Pharmacology IV,44200,MCMP,0,0,0
Production for Computer Animation,44200,CGT,0,0,0
Foodservice Systems Management,44200,NUTR,0,0,0
Introductory Module: Protein Expression,44201,BIOL,0,0,0
Animal Physiology,44202,BIOL,0,0,0
Bacterial Synthetic Biology Laboratory,44203,BIOL,0,0,0
Laboratory In Animal Cell Culture,44204,BIOL,0,0,0
Introduction To LabVIEW,44205,BIOL,0,0,0
Exploration Of Protein Structure,44207,BIOL,0,0,0
DNA Sequencing Laboratory,44208,BIOL,0,0,0
Laboratory In Anatomy And Physiology,44211,BIOL,0,0,0
Microscopy And Cell Biology,44212,BIOL,0,0,0
Multidisciplinary Design Of Systems And Devices For Physiology Measurements,44215,BIOL,0,0,0
Roman Satire,44300,LATN,0,0,0
Swine Management,44300,ANSC,0,0,0
Clinic Rotations VI,44300,VM,0,0,0
Neuroscience Of Movement,44300,HK,0,0,0
Introductory Environmental Fluid Mechanics,44300,CE,0,0,0
Laboratory In Foodservice Systems Management,44300,NUTR,0,0,0
Food Processing III,44300,FS,0,0,0
Arthropods And Diseases Of Turfgrass,44300,BTNY,0,0,0
Food Product Design (Capstone),44300,FS,0,0,0
Arthropods And Diseases Of Turfgrass,44300,ENTM,0,0,0
Industrial Practices Seminar,44300,AAE,0,0,0
Management Of Human Resources,44301,MGMT,0,0,0
Managing Human Capital Globally,44310,MGMT,0,0,0
Leadership & Organizational Change,44362,MGMT,0,0,0
Roman Philosophers,44400,LATN,0,0,0
Weather Analysis And Forecasting,44400,AGRY,0,0,0
Working With Families In Early Childhood Programs,44400,HDFS,0,0,0
Wireless Systems: Design And Measurement,44400,ECET,0,0,0
Veterinary Technology Clinical Orientation,44400,VM,0,0,0
Methods for Teaching Family and Consumer Sciences,44400,EDCI,0,0,0
Statistical Process Control,44400,FS,0,0,0
Arboricultural Practices,44400,FNR,0,0,0
Milton,44400,ENGL,0,0,0
Motor Function In Older Adults,44400,HK,0,0,0
Dairy Management,44400,ANSC,0,0,0
Human Genetics,44400,BIOL,0,0,0
Computer-Aided Design And Prototyping,44400,ME,0,0,0
Human Resources Management,44428,MGMT,0,0,0
Principles Of Epidemiology,44500,HK,0,0,0
Advanced Internetwork Routing And Switching,44500,CNIT,0,0,0
Strategic Analysis Of Horticultural Production And Marketing,44500,HORT,0,0,0
Urban Forest Issues,44500,FNR,0,0,0
Aircraft Electronics,44500,AT,0,0,0
Materials Engineering Systems Analysis And Design,44500,MSE,0,0,0
Video Game Design And Development,44500,CGT,0,0,0
Commercial Poultry Management,44500,ANSC,0,0,0
Veterinary Technology Senior Project,44500,VM,0,0,0
Aircraft Elecronics,44502,AT,0,0,0
Greek Historians,44600,GREK,0,0,0
Companion Animal Management,44600,ANSC,0,0,0
Post-Production And Special Effects For Computer Animation,44600,CGT,0,0,0
Applied Industrial Hygiene,44600,HSCI,0,0,0
Directed Observation For Family And Consumer Sciences,44600,EDCI,0,0,0
Food Process Automation,44600,FS,0,0,0
Six Sigma Quality,44600,IT,0,0,0
Roman Historians,44600,LATN,0,0,0
Integrated Plant Health Management For Ornamental Plants,44600,BTNY,0,0,0
Integrated Plant Health Management For Ornamental Plants,44600,ENTM,0,0,0
Molecular Bacterial Pathogenesis,44600,BIOL,0,0,0
Career Transition To Professional Nursing,44601,NUR,0,0,0
Evidence-Based Practice And Research In Professional Nursing,44602,NUR,0,0,0
Evidence-Based Practice And Research In Nursing,44602,NUR,0,0,0
Progression To Professional Nursing,44603,NUR,0,0,0
Negotiation And Decision Making,44690,MGMT,0,0,0
The Television Documentary,44700,COM,0,0,0
Food Processing II Laboratory,44700,FS,0,0,0
Vertebrate Population Dynamics,44700,FNR,0,0,0
Competitive Strategy,44710,MGMT,0,0,0
Introduction To Relational Database Systems,44800,CS,0,0,0
Therapeutic Case Studies,44800,CLPH,0,0,0
Multidisciplinary Design Of Systems And Devices For Physiology Measurements,44800,BIOL,0,0,0
Technology Strategy,44810,MGMT,0,0,0
Introduction To Psychiatric Pharmacy Practice,44900,CLPH,0,0,0
Senior Design Proposal,44900,NUCL,0,0,0
Introduction To Clinical Practice In Communication Disorders,44900,SLHS,0,0,0
Soil Conservation and Water Management,45000,AGRY,0,0,0
Introduction To Institutional Pharmacy Practice,45000,PHPR,0,0,0
Production Cost Analysis,45000,IT,0,0,0
Internship In Film/Video/Media Production,45000,FVS,0,0,0
Introduction To Aural Rehabilitation Across The Lifespan,45000,SLHS,0,0,0
Metalogic,45000,PHIL,0,0,0
Christian Ethics,45000,REL,0,0,0
Spacecraft Design,45000,AAE,0,0,0
Design And Analysis Of Processing Systems,45000,CHE,0,0,0
Symbolic Logic,45000,PHIL,0,0,0
Intermediate Laboratory,45000,PHYS,0,0,0
Supervised Teaching In Inclusive Programs For Young Children,45000,CDFS,0,0,0
Soil Conservation And Water Management,45000,NRES,0,0,0
Algebra Honors,45000,MA,0,0,0
Finite Element Method In Design And Optimization,45000,ABE,0,0,0
Design In Nuclear Engineering,45000,NUCL,0,0,0
Animals In Emergencies-Disaster Management,45000,VM,0,0,0
Gender Roles In Modern Society,45000,SOC,0,0,0
Gender Roles Mod Soc-Honors,45000,SOC,0,0,0
Supervised Teaching In Inclusive Programs For Young Children,45000,HDFS,0,0,0
Professional Practices,45000,CGT,0,0,0
Clinical Applications Of Sport III,45000,HK,0,0,0
International Agricultural Trade,45000,AGEC,0,0,0
Project Management For Organizational And Human Resource Development,45000,OLS,0,0,0
Clinical Biochemistry,45100,HSCI,0,0,0
Aircraft Design,45100,AAE,0,0,0
Applied Econometrics,45100,AGEC,0,0,0
Contemporary Topics In Life Skills,45100,VM,0,0,0
Christology,45100,REL,0,0,0
Industrial Practical Training,45100,IPPH,0,0,0
Pharmacy Practical Training,45100,CLPH,0,0,0
Strategic Management,45100,MGMT,0,0,0
Airport Operations,45100,AT,0,0,0
Monetary Analysis For Industrial Decisions,45100,IET,0,0,0
Italian Renaissance Art,45100,AD,0,0,0
Manufacturing Quality Control,45100,MET,0,0,0
Game Theory,45100,ECON,0,0,0
Machine Design II,45200,ME,0,0,0
Managing Human Resources In Veterinary Medicine,45200,VM,0,0,0
Northern Renaissance Art,45200,AD,0,0,0
Aquaculture,45200,FNR,0,0,0
Aviation Global Experience Seminar,45200,AT,0,0,0
Manufacturing Strategy And Process Innovation,45200,MGMT,0,0,0
Manufacturing Strategy,45200,MGMT,0,0,0
Systematic Theology,45200,REL,0,0,0
Clinical Chemistry,45200,HSCI,0,0,0
Advanced Primary Literature Evaluation: A Focus On Therapeutic Issues,45300,CLPH,0,0,0
Food Chemistry,45300,NUTR,0,0,0
Matrix Methods In Aerospace Structures,45300,AAE,0,0,0
Motor Coordination And Development,45300,HK,0,0,0
Fundamentals Of Nanoelectronics,45300,ECE,0,0,0
Clinical Hematology,45300,HSCI,0,0,0
Elements Of Algebra I,45300,MA,0,0,0
Fish Physiology,45300,FNR,0,0,0
The Role Of The Clinical Research Technician,45300,VM,0,0,0
Reporting Of Science News,45300,COM,0,0,0
Food Chemistry,45300,FS,0,0,0
Clinical Immunohematology,45400,HSCI,0,0,0
Gender And Diversity In Management,45400,OLS,0,0,0
Modern Architecture,45400,AD,0,0,0
Career Assessment And Professional Development,45400,HDFS,0,0,0
Design Of Aerospace Structures,45400,AAE,0,0,0
Transport Processes In Biological And Food Process Systems,45400,ABE,0,0,0
Human Factors In Aviation,45400,AT,0,0,0
Food Chemistry Laboratory,45400,FS,0,0,0
Galois Theory,45400,MA,0,0,0
Advanced Practice In Psychiatric Pharmacy,45400,CLPH,0,0,0
Career Assessment And Professional Development,45400,CDFS,0,0,0
Animal Rehabilitation And Physiotherapy,45400,VM,0,0,0
Fisheries Science And Management,45400,FNR,0,0,0
Fish Ecology,45500,FNR,0,0,0
Network Security,45500,CNIT,0,0,0
Clinical Microbiology,45500,HSCI,0,0,0
Agricultural Law,45500,AGEC,0,0,0
Integrated Circuit Engineering,45500,ECE,0,0,0
Modern Iraq,45500,HIST,0,0,0
Cereal Chemistry And Processing,45500,FS,0,0,0
Equine Behavior For The Veterinary Technician,45500,VM,0,0,0
Vehicle Design And Fabrication,45500,ME,0,0,0
Field Experience In Child Development And Family Studies,45500,CDFS,0,0,0
Human Services Capstone Internship,45500,HDFS,0,0,0
Construction Company Management,45500,BCM,0,0,0
Field Experience In Human Development And Family Studies,45500,HDFS,0,0,0
Medicare In Pharmacy Practice,45500,PHPR,0,0,0
Legal Background For Business I,45500,MGMT,0,0,0
Process Dynamics And Control,45600,CHE,0,0,0
"Advanced Web Programming, Development And Data Integration",45600,CGT,0,0,0
Programming Languages,45600,CS,0,0,0
Legal Foundations For Business II,45600,MGMT,0,0,0
Digital Integrated Circuit Analysis And Design,45600,ECE,0,0,0
Advertising Writing,45600,COM,0,0,0
Advanced Ophthalmology For Veterinary Technicians,45600,VM,0,0,0
Leadership In A Global Environment,45600,OLS,0,0,0
Pharmaceutical Care Of Diabetes,45600,CLPH,0,0,0
Wireless Security And Management,45600,CNIT,0,0,0
Federal Income Tax Law,45600,AGEC,0,0,0
Pharmaceutical Care In Developing Countries,45700,CLPH,0,0,0
Advanced Neurology For Veterinary Medicine,45700,VM,0,0,0
Air Pollution Control And Design,45700,CE,0,0,0
Technology Policy And Law,45700,TLI,0,0,0
Transport Operations In Food And Biological Engineering I,45700,ABE,0,0,0
Clinical Parasitology,45700,HSCI,0,0,0
Construction Safety,45701,BCM,0,0,0
Motor Control Learning-Honors,45800,HK,0,0,0
Puppetry,45800,THTR,0,0,0
Clinical Serology,45800,HSCI,0,0,0
Development And Family Science Capstone Internship,45800,HDFS,0,0,0
Leadership For Competitive Advantage,45800,TLI,0,0,0
Problems In Theatre Technology,45800,THTR,0,0,0
Principles Of Motor Control And Learning,45800,HK,0,0,0
Biomedical Informatics,45800,CNIT,0,0,0
Assistive Technology,45900,EDPS,0,0,0
Airport Manager Certification,45900,AT,0,0,0
International Management,45900,MGMT,0,0,0
Geometry,46000,MA,0,0,0
Strategies For Teaching Individuals With Disabilities,46000,EDPS,0,0,0
Building Information Modeling For Commercial Construction,46000,CGT,0,0,0
Teaching Design And Innovation II,46000,TLI,0,0,0
Drug Discovery And Development I,46000,PHRM,0,0,0
Introduction To Assessment Audiology,46000,SLHS,0,0,0
Interns For Indiana Seminar,46000,ENTR,0,0,0
Sensors And Process Control,46000,ABE,0,0,0
Project Design And Development,46000,ECET,0,0,0
Introduction To Controlled Thermonuclear Fusion,46000,NUCL,0,0,0
Agricultural Publishing,46000,YDAE,0,0,0
American Colonial History,46000,HIST,0,0,0
International Natural Resources Summer Program,46000,FNR,0,0,0
Clinical Urinalysis,46000,HSCI,0,0,0
Assessment Audiology And Aural Rehabilitation Across The Lifespan,46000,SLHS,0,0,0
High Performance Computing Systems,46000,CNIT,0,0,0
Quantum Mechanics I Honors,46000,PHYS,0,0,0
Judicial Politics,46000,POL,0,0,0
"The Revolutionary Era, 1763 To 1800",46100,HIST,0,0,0
Drug Discovery And Development II,46100,PHRM,0,0,0
Residential Design Build,46100,BCM,0,0,0
Engineering/Technology Teacher Lab Planning,46100,TLI,0,0,0
