Title,Number,Subject/Abbreviation
Teach Fundamentals Biology,29500,BIOL
Teach Disease Ecology Lab,29500,BIOL
Teach Human Antmy&Physiology,29500,BIOL
Honors Mentors,29500,HONR
Introduction/Animal Sciences,29500,ANSC
Readings In Biophysics,29500,BIOL
Teach LSAMP Seminar,29500,BIOL
BME Frontiers,29500,BME
Special Assignments,29500,BIOL
Teach Freshman Seminar-Honors,29500,BIOL
Teach Freshman Honor Seminar,29500,BIOL
Zoo Animal Behavior,29500,BIOL
Equine Sales/Nutrition,29500,ANSC
Effective Study Methods,29500,GS
Introductory Animal Sciences,29500,ANSC
Teach Biol Elem School Teacher,29500,BIOL
Professional Career Management,29500,MGMT
University Honors Program Sophomore Independent Research,29500,HONR
Anatomy&Physiology Lab-Honors,29500,ANSC
Readings In Neuroscience,29500,BIOL
Applied Animal Management,29500,ANSC
Arthropod Pets: Care & Biology,29500,ENTM
Teach Genetics&Molecular Biol,29500,BIOL
Teach Principles Of Physiology,29500,BIOL
Teach Intro Microbiology,29500,BIOL
Teaching Human Genetics,29500,HONR
Teaching Fundamentals Biology,29500,BIOL
Teaching Biology,29500,BIOL
Phys Of Domestic Animals II,29500,ANSC
Teach CASPIE Laboratory,29500,BIOL
Global Cultures In ANSC,29500,ANSC
Frontier Biomed Engr,29500,BME
Phys Of Domestic Animals I,29500,ANSC
Animal Nutrition,29500,ANSC
Teach Human Genetics,29500,BIOL
Teach Cell Struc & Function,29500,BIOL
Electronic Livestock Marketing,29500,ANSC
Romanias Vampire Legends,29500,HONR
Prin Of Animal Nutrition,29500,ANSC
Teach Cell Structure&Function,29500,BIOL
Frontier Biomed Engrng,29500,BME
Physiology/Domestic Animals,29500,ANSC
Teach Human Des Antmy&Physio,29500,BIOL
Teaching DNA Sequencing,29500,BIOL
Outreach Assistance As Service Learning,29500,PHYS
School Of Health Sciences Sophomore Honors Seminar,29501,HSCI
Selected Topics In Electrical And Computer Engineering,29595,ECE
Surf Research,29600,BME
Reabsorbable Pins And Screws,29600,BME
Adaptive Electronics,29600,ECE
Human Computer Interaction,29600,ECE
Impact Telemetry,29600,ECE
Contractility Of Actomyosin,29600,BME
Flow Cytometry Research,29600,BME
Biomaterial Research,29600,BME
Photonics Instrumentation Res,29600,ECE
Surveillance Video Analysis,29600,ECE
Protein Engineering Methods,29600,BME
Magnetic Microactuators Rsrch,29600,BME
Selective Thermal Emission,29600,ECE
Circulating Flow Chamber Desgn,29600,BME
Vagus Nerve Stimulation,29600,BME
Electrical And Computer Engineering Projects,29600,ECE
US Meas Murine Anga Aneurysms,29600,BME
MRI Engineering Project,29600,BME
Measmnt Of Cellular Processes,29600,BME
Bioorthogonal Labeling Of Fish,29600,BME
Human EEG Study During Movie,29600,BME
Cellular Biomechanics,29600,BME
Neuroengineering Research,29600,BME
Bioadhesives For Neuro Repair,29600,BME
BME Imaging Sensing Research,29600,BME
Laser Deflection Vibration Sen,29600,BME
Bioactivity Of Biomaterials,29600,BME
Imp Pt Bios Neuro Stim Eval,29600,BME
Biomechanics And EMG,29600,BME
Devel & Anly Mat Protein Anly,29600,BME
Molecular Diagnostics,29600,BME
Electrical & Comp Eng Project,29600,ECE
360 Agribusiness Industry View,29600,AGEC
Research On Cellular Dynamics,29600,BME
Photo Acoustic Imaging,29600,BME
Russell Main Lab,29600,BME
Web Interface Programming,29600,ECE
Analysis Of Live Cell Images,29600,BME
Neuroscience Research,29600,BME
Finite Element Models Matlab,29600,BME
Lactaid Biosensors,29600,BME
Physiologic Signal Processing,29600,BME
Soccer Mechanics II,29600,BME
Crowd Analysis From Images,29600,ECE
Metabolomics And Medicine,29600,BME
Device Opimization For TMR,29600,BME
Non Invas Imaging Cv Disease,29600,BME
Automated Reasoning Project,29600,ECE
Software Quality Assessment,29600,ECE
Porcine Cardiovascular Disease,29600,BME
Bioorthogonal Labeling,29600,BME
Cloud Based Video Analysis,29600,ECE
Protein Engineering Research,29600,BME
Magnetic Nanoparticle HypTherm,29600,BME
Modeling Of Cellular Processes,29600,BME
Protein Engineering,29600,BME
Intro To Animal Research,29600,BME
BME Research,29600,BME
Comp Mthds For Protein Signal,29600,BME
Implantable Device Fabrication,29600,BME
Optl Spectroscopy Chartzation,29600,BME
Running Human Sub In EEG/fMRI,29600,BME
Tissue Vasculogenesis Research,29600,BME
Eval Of Magnetic Microactuator,29600,BME
Computational Tumor Analysis,29600,BME
Biomechanics Research,29600,BME
RF Coil MRI Research Project,29600,BME
Video Surveillance Analysis,29600,ECE
Begninning Research,29600,BME
CV Img And Rodent Genotyping,29600,BME
Hospital Readmin Risk Modeling,29600,BME
Oligomers For Bone Repair,29600,BME
Computer Modeling,29600,BME
Non Invas Imaging CV Disease,29600,BME
Rehab Biomechanics,29600,BME
Res Irregular Applications,29600,ECE
US Img Murine Renal Blood Flow,29600,BME
Bioabsorbable Stents,29600,BME
Modeling Cells For Control,29600,BME
Cell Biomaterial Interactions,29600,BME
RF Power Amplifiers,29600,BME
Platinum Dissolution Meas,29600,BME
Polymer Degradation & Rheology,29600,BME
Pharmacy Flow Modeling,29600,BME
Chemotherapeutic Biomaterials,29600,BME
Wearable Biosensor,29600,BME
Cloud Based Image Analysis,29600,ECE
Protein Systems Engineering,29600,BME
ECM For Tissue Engineering,29600,BME
Undergrad Rsrch In CV Imaging,29600,BME
Molecular Diagnositics,29600,BME
Biomedical Engineering Projects,29600,BME
Tissue Engineering Research,29600,BME
Tissue Architecture Imaging,29600,BME
Human-Computer Interaction,29600,ECE
Electrical & Comp Eng Projects,29600,ECE
Skeletal Mechanobiology,29600,BME
Advanced Photovoltaic Modeling,29600,ECE
Buckling Drvn Force Cell Cortx,29600,BME
Neuroprosthesis Research,29600,BME
Adaptive Rf Matching,29600,ECE
Biomechanics Of Neurotrauma,29600,BME
Non-Invas Imaging CV Disease,29600,BME
Android Application Developmnt,29600,ECE
High Density Tissue Constructs,29600,BME
3D Imaging Of ECM Networks,29600,BME
  Dvlpment  Microfluidic Mixr,29600,BME
Comp Approach Protein Signal,29600,BME
Telemetry And Imaging,29600,ECE
Infrared Tracking For Epilepsy,29600,BME
Cloud Computing,29600,ECE
Research In Biomed Engineering,29600,BME
fMRI-Based Brain Decoding,29600,BME
Stat Analysis Shared MDM,29600,BME
Epigenetic Basis Of Disease,29600,BME
Devlpmnt Of Microfluidic Mixer,29600,BME
Dsgn Of Proteoglycan Mimetics,29600,BME
Ultrasound Image Analysis,29600,BME
Engineered Therapeutics,29600,BME
Neural Circuits In Vision,29600,BME
Neural Prosthetics Research,29600,BME
Acrolein-Mediated Cell Death,29600,BME
Polymer Degradation Study,29600,BME
Quantitative Modeling In Dev,29600,BME
Implantable Microsystems Rsrch,29600,BME
CV Imaging Research,29600,BME
Head Biomechanics I,29600,BME
Optical Nerve Stim,29600,BME
Phys & Mental Defcts Brain Inj,29600,BME
Common Mode Circuit Analysis,29600,ECE
Physiology Modeling,29600,BME
Bioorthogonal Labeling Of ECM,29600,BME
Electrodes Siezure Treatment,29600,BME
Non Invasive Imag CV Disease,29600,BME
School of Health Sciences Sophomore Honors Project,29601,HSCI
Professional Practice Internship I,29699,CHE
Introduction To Honors Research,29700,HDFS
Analysis Of Soft Materials,29700,ME
Cult Exp-CENIDE Nano Program,29700,ME
Nanoscale Thermal Transport,29700,ME
Clean Water I,29700,ME
Engr & Interdisciplnry Design,29700,ME
Particle Shape Measurements,29700,ME
Dynamics Of Biological Systems,29700,ME
Biomimetic Matls And Structrs,29700,ME
Intro Intercultural Teamwork,29700,ME
Fund Skills Working In US,29700,ME
Globl Eng Orient-GEARE,29700,ME
Introduction To Honors Research,29700,FN
Bldg ME Connection–Jet Engines,29700,ME
Mechanical Engineering Sophomore Projects,29700,ME
How Stuff Works,29700,ME
Electronic Prototype Development,29700,ECET
Introduction To Honors Research,29700,HTM
Spain/Latin Predptre Orientn,29700,ME
Kneemodeling,29700,ME
Cancer Modeling I,29700,ME
Drop Breakup,29700,ME
Experimental Biomechanics I,29700,ME
Engineering Disasters,29700,ME
Helmet Testing,29700,ME
Programming Wearable Devices,29700,ME
UAV Design,29700,ME
Sensing System Design,29700,ME
Basic Hyperspectral Imaging,29700,ME
Simulation Of Engines,29700,ME
It's A Complex World,29700,ME
Introduction To Honors Research,29700,NUTR
Microfluidic Droplt Generation,29700,ME
Experiments In Vibration,29700,ME
Imaging In Biomechanics,29700,ME
First Leadership Class,29700,ME
Laser Micromachining,29700,ME
Basic Mechanics I (Statics),29700,CE
How Stuff Works Ldrshp,29700,ME
Arachnid Biomechanics I,29700,ME
Human Power Vehicle Design,29700,ME
Cooperative Education Seminar,29700,ME
Fuel Characterization Study,29700,ME
Roller Coaster Dynamics,29700,ME
Conductive Soft Materials,29700,ME
MEA Leadership Prgm,29700,ME
Apps Of Deep Neutral Nets,29700,ME
Mechanisms Of TBI,29700,ME
Global Engineering Orientation - GEARE,29701,ENGR
Global Engineering Orientation,29701,ENGR
Basic Mechanics II Dynamics,29800,CE
Lab in Ecol & Sys of Rep & Amp,29800,FNR
Sophomore Seminar,29800,NUCL
Sophomore Seminar,29800,FS
Ecol & Syst of Reptiles & Amph,29800,FNR
Sophomore Seminar,29800,AGEC
Lab in Ecology & Syst Fishes,29800,FNR
Introduction To Biochemistry Research,29800,BCHM
Ecology & Systematics of Fish,29800,FNR
Russian Fairy Tales,29800,RUSS
Head Start To Introductory Biochemistry Research,29801,BCHM
ENGT Freshmen Experience,29900,ECET
DAQ Lab Asst,29900,ECET
Digital III Lab Assistant,29900,ECET
Summer Internship,29900,MET
The Human Redesign,29900,HONR
Blade Injection Mold,29900,MFET
Concurrent Digital I Lab Asst,29900,ECET
Digital III Lab Assist,29900,ECET
Death & Dying,29900,HONR
Photography And Cultural Value,29900,HONR
Global Ldrshp In Germany,29900,OLS
Electric Fund Lab Asst,29900,ECET
OLS Learning Community,29900,OLS
Haynes International Internshp,29900,MET
Lab Asst For Mass Spec Lab,29900,ECET
Analog Signal Process Lab Asst,29900,ECET
Bechtel Internship,29900,MET
Energy Technology & Policy,29900,HONR
Paradigm Shifts Biol&Medicine,29900,HONR
Heat/Poler Lab,29900,MET
Intro To Dig Syst Lab Asst,29900,ECET
Tpcs Humanities & Technology,29900,TECH
Cptr Itgrtd Mfg Tech,29900,MFET
"Myth Reflec In Lit, Mus & Film",29900,HONR
Dracula&Psych Of Supernatural,29900,HONR
Fund Of PEM Fuel Cells,29900,MET
Social Movmnts: Local & Global,29900,HONR
TLI Learning Community,29900,TLI
How'd They Do That?,29900,HONR
Ryobi Casting Internship,29900,MET
Diversity In Indiv & Fam Life,29900,HONR
Freedom Ride,29900,HONR
Embedded Opus Audio Broadcast,29900,ECET
Six Sigma Tools & Process Appl,29900,ECET
War On Terror & Movies,29900,HONR
Teachers Assistant,29900,ECET
"Food, Kitchens & Politics",29900,HONR
Heat Power Lab,29900,MET
Concurrent Digital Lab Asst,29900,ECET
Spm Invest Photovoltaic Cells,29900,ECET
Leadership In Health,29900,HONR
Analog III Assistant,29900,ECET
Analog I Lab Asst,29900,ECET
 Idea Of The University,29900,HONR
Digital II Lab Asst,29900,ECET
Honors Mentors,29900,HONR
Physics For Future Presidents,29900,HONR
Gateway To EET Lab Asst,29900,ECET
Furnas Controls Lab Update,29900,ECET
Selected Electrical Engineering Technology Subjects,29900,ECET
Digital I Lab Assistant,29900,ECET
Fund Of PEM Fuel Cell Lab,29900,MET
Analog I Lab Assistant,29900,ECET
Mechanical Engineering Technology,29900,MET
Topics In Computer And Information Technology,29900,CNIT
Digital II Lab Assist,29900,ECET
Pirates!,29900,HONR
The Insect Play,29900,HONR
Social History Of Dress,29900,HONR
Elec Fund Lab Assistant,29900,ECET
Analog III Lab Assistant,29900,ECET
Elec Fund Lab Teach Asst,29900,ECET
Lab Assistant,29900,ECET
Lab Assistant,29900,MET
Digital I Lab Asst,29900,ECET
Remy International Internship,29900,MET
Analog VI Lab Asst,29900,ECET
Bioformatics Gene Sequencing,29900,CNIT
"Animals, Society & Education",29900,HONR
Comm Systems Lab Asst,29900,ECET
Intro Dig Syst Lab Asst,29900,ECET
Analog Sig Proc Lab TeachAsst,29900,ECET
McDonaldization Of Society,29900,HONR
Biodiversity & Indonesia,29900,HONR
Making The Human,29900,HONR
Strengths Lab,29900,MET
Death Disease & Med 20th Cent,29900,HONR
Peer Leadership I S,29900,HONR
Computer Integrated Manufacturing Technology,29900,MFET
Elec Fund Lab Asst,29900,ECET
Human Genetics,29900,HONR
Cummins Internship,29900,MET
Honors Seminar Mentors,29900,HONR
Household Science II,29900,HONR
The Presidential Seminar,29900,HONR
Foundations Of Tech Ldrship,29900,OLS
Arthurian World,29900,HONR
Ethernet Diagnostics Port,29900,ECET
Gender Rev In Modern Amer,29900,HONR
Digital Systems Lab Asst,29900,ECET
Freedom In America,29900,HONR
Analog IV Lab Asst,29900,ECET
Technology & Culture,29900,HONR
Innovation Forum,29900,HONR
ISIS,29900,HONR
Homegrown,29900,HONR
Design Lab IV,29900,TECH
AC Power Lab Assist,29900,ECET
Micro Cont Graphic Equalizer,29900,ECET
Design Lab II,29900,TECH
Pid Controlled Class D Amplif,29900,ECET
SPP Pumps Internship,29900,MET
Digital II Lab Assistant,29900,ECET
Elec Fundamentals Grader,29900,ECET
Analog V Lab Asst,29900,ECET
Structural Mech Supp,29900,CE
Informal Literature,29900,HONR
Literature And Disability,29900,HONR
Superheroes & American Culture,29900,HONR
Curtain Up! American Musical,29900,HONR
Household Science,29900,HONR
Electricity Fund Lab Asst,29900,ECET
Analog II Lab Asst,29900,ECET
Seminar IV,29900,TECH
Boost Class D Amplifier,29900,ECET
Analyze Neeshub Website,29900,CNIT
SOET Freshmen Lab Experience,29900,ECET
Thrt Road Show Ag & Your Food,29900,HONR
Elect Fund Lab Asst,29900,ECET
Food Security,29900,HONR
DAQ Systems Control Lab Asst,29900,ECET
Heat/Power Lab,29900,MET
Smart Health Product Design,29900,HONR
Nanotechnology Lab Assistant,29900,ECET
Science Theater:  Sci & Tech,29900,HONR
Organizational Leadership And Supervision,29900,OLS
Analog Devices Lab Assistant,29900,ECET
Analog II Lab Assistant,29900,ECET
Analog III Lab Asst,29900,ECET
Elec Gateway Lab Assist,29900,ECET
Net Zero Research,29900,MET
Global Ldrshp In Germany Pract,29900,OLS
Sustainable Leed-ership,29900,HONR
Controls Theory Lab Support,29900,ECET
Rise/Fall Of The American Emp,29900,HONR
Control Lab Update,29900,ECET
Lean Six Sigma Green Belt,29900,MFET
Investigate Innovation,29900,MFET
Special Topics In Technology Leadership & Innovation,29900,TLI
Hasbro Synergy Teams,29900,HONR
Digital Histories,29900,HONR
From Apathy To EMPATHI,29900,HONR
Digitial I Lab Assistant,29900,ECET
Food Policy & Nutrition,29900,HONR
Tech Implementation In ENTR,29900,CNIT
Gateway Lab Asst,29900,ECET
Electronic Systems Grader,29900,ECET
Environmental And Ecological Systems Modeling,30000,EEE
Applications Of Automation In Manufacturing,30000,MFET
Chemical Engineering Seminar,30000,CHE
Field Experience In Retail Management,30000,CSR
Honors Program Seminar,30000,IE
Semester Internship Experience In Hospitality And Tourism,30000,HTM
Management Of Human Resources,30000,OBHR
Liberal Arts Influentials,30000,GS
Intro Polit Analysis-Honors,30000,POL
Thermodynamics II,30000,ME
Undergraduate Junior Seminar,30000,AAE
Global Aviation Systems,30000,AT
Life Drawing II,30000,AD
Student Leadership Development,30000,EDPS
Introduction To Political Analysis,30000,POL
Global Design Team III,30000,GEP
Eve Of Destruction: Global Crises And World Organization In The 20th Century,30000,HIST
Nuclear Structure And Radiation Interactions,30000,NUCL
Liberal Arts Influentials,30000,SCLA
American University Cairo,30001,SA
Accademia Italiana Florence,30002,SA
CAPA-Florence,30004,SA
CIMBA,30008,SA
College Year In Athens CYA,30009,SA
Complutense University Madrid,30010,SA
Freiburg University Program,30011,SA
Hansard Scholars Internship Program,30012,SA
Studio Art Centers International SACI,30016,SA
Semester At Sea,30017,SA
Siena Summer School In Italian Deaf Culture,30018,SA
SIT-Public Health And Traditional Chinese Medicine,30019,SA
University Of Minnesota At Toledo,30021,SA
University Of Minnesota Program At Montpellier,30022,SA
Sponsored Hotel Internship And Study Abroad In China,30026,SA
Study Abroad In Italy - Milan,30027,SA
FU-BEST Berlin,30028,SA
ACTR Russian Language,30030,SA
London College Of Fashion,30031,SA
Direct Enroll City U Hong Kong,30033,SA
CAPA London,30034,SA
University Of Minnesota In Morocco,30036,SA
Academic Year In Freiburg,30042,SA
Neuroscience In Salamanca,30044,SA
SEA Summer In The Pacific,30047,SA
SIT Geoscience In The Himalayas,30048,SA
SEA Summer In The Atlantic,30049,SA
FZD School Of Design,30050,SA
Student Teach Abroad Germany,30051,SA
Student Teaching In Germany,30051,SA
Contmp Issue Asia Amer Studies,30100,AMST
"Hlth, Built Envrnt & Sustnblty",30100,AMST
Perspectives Of America,30100,AMST
Diversity In Amer University,30100,AMST
Lit Span Spk People US,30100,AMST
Human Design: Anatomy And Physiology,30100,BIOL
Living History,30100,AMST
Zora Neale Hurston,30100,AMST
"Sex, Race And Science",30100,AMST
Chinese Level V,30100,CHNS
Italian Level V,30100,ITAL
Wood Products And Processing,30100,FNR
Elementary Statistical Methods,30100,STAT
Diversity In Individual And Family Life,30100,HDFS
History Of Ancient Philosophy,30100,PHIL
Ways Of Reading,30100,ENGL
Seminar For Veterinary Technologists I,30100,VM
Numerical And Computational Modeling In Biological Engineering,30100,ABE
Intro Asian American Studies,30100,AMST
Professional Preparation In Interdisciplinary Engineering,30100,IDE
Russian Level V,30100,RUSS
"Race, Rel &Pop Cult In America",30100,AMST
Science Fiction Of Apocalypse,30100,AMST
Modeling And Computational Tools In Biological Engineering,30100,ABE
Project Control And Life Cycle Execution Of Constructed Facilities,30100,CEM
Plant Physiology,30100,HORT
New Media Culture,30100,AMST
Virtual Reality,30100,AMST
Oil !,30100,EAS
Standard Arabic Level V,30100,ARAB
Spanish Level V,30100,SPAN
Muslims In America,30100,AMST
1960s America,30100,AMST
Ancient Philosophy-Honors,30100,PHIL
American Virgin,30100,AMST
Introduction To Cognitive Neuroscience,30100,SLHS
Portuguese Level V,30100,PTGS
Cooperative Seminar II,30100,CHE
French Level V,30100,FR
African-American Protest Lit,30100,AMST
Cultures Of Beauty,30100,AMST
Introductory Plant Pathology,30100,BTNY
"Animal Growth, Development, And Evaluation",30100,ANSC
Peer Counseling Training,30100,EDPS
Clinical Practice In Athletic Training - Associate,30100,HK
Bioelectricity,30100,BME
Amer Reps Mid East & N Africa,30100,AMST
German Level V,30100,GER
Elem Stat Meth-Honors,30100,STAT
Gender Revolution Mod Amer,30100,AMST
Modern Dance Techniques III,30100,DANC
Diversity In Individual And Family Life,30100,CDFS
Surveillance Culture,30100,AMST
The Other Great Depresn-Honors,30100,AMST
Beat Generation & Amer Cult,30100,AMST
Agroecology,30100,SFS
American Beauty,30100,AMST
Oil !,30100,EAPS
An Introduction To Proof Through Real Analysis,30100,MA
Leadership And Problem Solving,30100,MSL
Junior Participation In EPICS,30100,EPCS
"Technology, Culture & Society",30100,AMST
"Gender, Media, & Pop Culture",30100,AMST
Japanese Level V,30100,JPNS
Women And Health In America,30100,AMST
Professional Career Management,30100,MGMT
Signals And Systems,30100,ECE
Modern Dance III,30100,DANC
Civil War Memory,30100,AMST
Management Career Lectures,30100,MGMT
Intro Cog Neurosci-Honors,30100,SLHS
Signal Analysis For Aerospace Engineering,30100,AAE
Introduction To Construction Company Financial Management,30101,BCM
Sustainable Forest Products Manufacturing,30110,FNR
Principles Of Sustainability,30200,SFS
Russian Level VI,30200,RUSS
Probabilistic Methods In Electrical And Computer Engineering,30200,ECE
Conquistadors,30200,HIST
Religion Amer Hist & Culture,30200,HIST
Hist Of US Presidential Debate,30200,HIST
America 1914-1945-Honors,30200,HIST
Intro Jewish Studies,30200,HIST
History Of US Agriculture,30200,HIST
Chinese Level VI,30200,CHNS
CAD In The Enterprise,30200,MET
Hist Of Horticulture,30200,HIST
Adult Nursing I,30200,NUR
The US In The World,30200,HIST
Spanish Level VI,30200,SPAN
Human Design: Anatomy And Physiology,30200,BIOL
Revolutions In Atlantic World,30200,HIST
Italian Level VI,30200,ITAL
"Sex, Race And Science",30200,HIST
Controversies Contemp Korea,30200,HIST
Race And Boxing,30200,HIST
Global Sustainability Issues,30200,FNR
Hist Medieval Philos-Honors,30200,PHIL
Junior Participation In EPICS,30200,EPCS
Youth In Revolutionary China,30200,HIST
Anc Jud & Early Christ,30200,HIST
French Level VI,30200,FR
Acoustic Bases Of Speech And Hearing,30200,SLHS
Plant Ecology,30200,BTNY
Two Koreas: Pol Econ Rivalry,30200,HIST
Muslim Women In History,30200,HIST
Theory And Practice Of Elementary School Art,30200,AD
Integrated Laboratory II,30200,PHRM
Applied Clinical Anatomy,30200,HK
History Of Medieval Philosophy,30200,PHIL
Imperial Spain 1469-1714,30200,HIST
History Of Korea,30200,HIST
US Media Politics Pop Culture,30200,HIST
Muslims In America,30200,HIST
Medicine In 20th Cen Amer Hist,30200,HIST
Japanese Level VI,30200,JPNS
Sports In America,30200,HIST
Hospitality And Tourism Industry Internship,30200,HTM
Queens & Empresses,30200,HIST
Hearing Science,30200,SLHS
Practical Applications For Construction Engineering,30200,CEM
Nationalism And Socialism,30200,HIST
Standard Arabic Level VI,30200,ARAB
History Of Alchemy,30200,HIST
Flight Paths-Honors,30200,HIST
"Gendr,War Napoleonc Age-Honors",30200,HIST
"Korean History, Present-1945",30200,HIST
Tech Innovation & US Civil War,30200,HIST
Modern Warfare,30200,HIST
American Economic History,30200,HIST
Introduction To Control Systems,30200,ECET
Kennedy Assassination,30200,HIST
Leadership And Ethics,30200,MSL
"Creoles,Vampires,QuadroonBalls",30200,HIST
Bible & Early Intrpret,30200,HIST
Cultures Of Beauty,30200,HIST
History Of Sports In America,30200,HIST
Hitler And Nazis,30200,HIST
German Level VI,30200,GER
Portuguese Level VI,30200,PTGS
Gender & Medieval Religion,30200,HIST
Introduction To Industrial Controls,30201,ECET
History Of Modern Philosophy,30300,PHIL
Art in Middle/Junior High Schools,30300,AD
Anatomy And Physiology Of The Speech Mechanism,30300,SLHS
Essentials Of Nutrition,30300,FN
Essentials Of Nutrition,30300,NUTR
Intercultural Communication,30300,COM
Adult Nursing I - Clinic,30300,NUR
Applications Of Physical Chemistry To Biological Processes,30300,ABE
Athletic Training Modalities,30300,HK
Differential Equations and Partial Differential Equations for Engineering and the Sciences,30300,MA
Animal Behavior,30300,ANSC
Engineering Surveying,30300,CE
Anatomy And Physiology Of The Speech And Hearing Mechanism,30400,SLHS
Bioprocess Engineering Laboratory,30400,ABE
Introductory Weed Science,30400,BTNY
America In The 1960s,30400,HIST
Nineteenth-Century Philosophy,30400,PHIL
Introduction To Financial Management,30400,MGMT
Introduction To Communication Systems,30400,ECET
Psychosocial Nursing,30400,NUR
Differential Equations And Analysis Of Nonlinear Systems For Engineering And The Sciences,30400,MA
Video Art,30400,AD
Quantitative Methods For Communication Research,30400,COM
Biomedical Transport Fundamentals,30400,BME
Therapeutic Exercise,30400,HK
Advanced Composition,30400,ENGL
Physical Properties Of Biological Materials,30500,ABE
Industrial Design I,30500,AD
Biological Chemistry II,30500,MCMP
Spanish For Heritage Speakers,30500,SPAN
Agricultural Prices,30500,AGEC
Basics Of Oncology,30500,HSCI
Injury Assessment I,30500,HK
Seed Analysis And Grain Grading,30500,AGRY
Psychosocial Nursing - Clinic,30500,NUR
Bioinstrumentation Circuit And Measurement Principles,30500,BME
Conservation Genetics,30500,FNR
Fundamentals Of Plant Classification,30500,BTNY
Semiconductor Devices,30500,ECE
Biosocial Foundations Of The Family,30500,HDFS
Business Statistics,30500,MGMT
Buisness Statistics,30500,MGMT
Nuclear Engineering Undergraduate Laboratory II,30500,NUCL
Biosocial Foundations Of The Family,30500,CDFS
The United States In The World 1898-Present,30505,HIST
Management Science,30600,MGMT
Design Of Staged Separation Processes,30600,CHE
Twentieth-Century Philosophy,30600,PHIL
Introduction To Phonetics,30600,SLHS
Analysis Of Survey Observations,30600,CE
Introduction To Professional Writing,30600,ENGL
Mathematical Methods Of Physics I,30600,PHYS
Adult Nursing II,30600,NUR
History Of Horticulture,30600,HORT
Biotransport Laboratory,30600,BME
Industrial Design II,30600,AD
Electronic Circuits And Systems Laboratory,30600,ECE
Injury Assessment II,30600,HK
Understanding And Analyzing Experiments,30600,PSY
The Development Of Contemporary Anthropological Theory,30700,ANTH
Mathematical Methods Of Physics II,30700,PHYS
Advanced Aircraft Systems,30700,AT
Software Engineering I,30700,CS
Electromagnetic Fields And Waves Laboratory,30700,ECE
Momentum Transfer In Food And Biological Systems,30700,ABE
Adult Nursing II - Clinic,30700,NUR
Field Experience In Selling And Sales Management,30700,CSR
Biochemistry,30700,BCHM
Analog Network Signal Processing,30700,ECET
History Of Contemporary Photography,30701,AD
Advanced Aircraft Systems,30702,AT
Aircraft Materials Processes,30800,AT
Systems Simulation And Control Laboratory,30800,ECE
Deep Immersion,30800,PTEC
Heat And Mass Transfer In Food And Biological Systems,30800,ABE
Prepress Production And Design,30800,CGT
Advanced Spanish For Heritage Speakers,30801,SPAN
Aircraft Materials Processes,30802,AT
Fundamentals Of Computer Graphics,30834,ECE
Object-Oriented Programming In C++ And Java,30862,ECE
Reading In Middle And Secondary Schools: Methods And Problems,30900,EDCI
Unmanned Autonomous Aerial Systems,30900,AT
Internship In Computer Graphics Technology,30900,CGT
Computer-Aided Analysis For Geosciences,30900,EAS
Biochemistry Laboratory,30900,BCHM
Leadership Strategies,30900,CSR
Language Development,30900,SLHS
Computer-Aided Publishing,30900,ENGL
Co-Op Preparation,30900,LA
Computer-Aided Analysis For Geosciences,30900,EAPS
Advanced Embedded Microcontrollers,30900,ECET
Fluid Mechanics,30900,ME
Introduction To Neutron Physics,31000,NUCL
Sensory And Perceptual Processes,31000,PSY
Planting Design Basics,31000,HORT
Farm Organization,31000,AGEC
Public Health Science,31000,NUR
Guidance In Early Childhood,31000,HDFS
Guidance In Early Childhood,31000,CDFS
Racial And Ethnic Diversity,31000,SOC
Intermediate Mechanics,31000,PHYS
Marketing And Management For New Ventures,31000,ENTR
Mortuary Practices Across Cultures,31000,ANTH
Financial Management,31000,MGMT
Navigation,31000,NS
Engineering In Global Context,31000,ENGR
CIEE - Bahia,31001,SA
CIEE-Beijing,31003,SA
CIEE-Shanghai: China In A Global Context,31004,SA
"The Civil War And Reconstruction, 1850 To 1877",31005,HIST
CIEE - Santiago,31005,SA
CIEE - Monteverde,31006,SA
CIEE-Prague,31007,SA
CIEE-Rennes,31009,SA
CIEE-Ghana,31010,SA
CIEE-Budapest,31011,SA
CIEE-Tokyo,31012,SA
CIEE-St Petersburg Russian Language Program,31014,SA
CIEE-Cape Town,31015,SA
CIEE-Alicante Language And Culture,31016,SA
CIEE-Alicante Language In Context,31017,SA
CIEE-Alicante Liberal Arts,31018,SA
CIEE-Barcelona Business And Culture,31019,SA
CIEE-Seville Business And Society,31021,SA
CIEE-Seville Language And Society,31022,SA
CIEE-Seville Liberal Arts,31023,SA
CIEE-Taipei,31024,SA
CIEE-Brussels,31026,SA
CIEE Alicante Summer Program,31027,SA
"CIEE Amman, Jordan",31028,SA
CIEE Istanbul,31029,SA
CIEE Palma de Mallorca Business And Tourism Internship,31030,SA
Turfgrass Diagnostics,31100,AGRY
Insect Ecology,31100,ENTM
Fundamentals Of Phonology And Morphology,31100,LING
Naval Operations,31100,NS
Greek Art,31100,AD
Electrical Systems And Signals In Healthcare,31100,ECET
Child Development,31100,CDFS
Experimental Strength Of Materials,31100,MET
Clinical Applications Of Health/Fitness Concepts II,31100,HK
"Wood Structure, Identification, And Properties",31100,FNR
Human Memory,31100,PSY
Biometrics And Pharmaceutical Analysis,31100,MCMP
Copy Editing,31100,COM
