"","Title","Number","Abbreviation","AvgWorkloadRating","AvgDifficultyRating","AvgUtilityRating"
"1602","Introduction To Digital Video Production",26100,"COM",0,0,0
"1603","Introduction To The Linguistic Study Of Foreign Languages",26100,"FLL",0,0,0
"1604","Multivariate Calculus",26100,"MA",0,0,0
"1605","Technical Video Production I",26100,"FVS",0,0,0
"1606","Introduction To Construction Graphics",26200,"CGT",0,0,0
"1607","Organic Chemistry",26200,"CHM",0,0,0
"1608","Festivals And Special Events",26200,"HTM",0,0,0
"1609","Basic Aircraft Powerplant Technology",26200,"AT",0,0,0
"1610","Foundations Of Integrated STEM Education",26200,"TLI",0,0,0
"1611","Greek And Roman Classics In Translation",26200,"ENGL",0,0,0
"1612","Jewelry And Metalwork I",26200,"AD",0,0,0
"1613","Linear Algebra And Differential Equations",26200,"MA",0,0,0
"1615","Introduction To Sound Studios",26300,"THTR",0,0,0
"1616","Introduction To Mechanical Engineering Design, Innovation And Entrepreneurship",26300,"ME",0,0,0
"1617","Organic Chemistry Laboratory",26300,"CHM",0,0,0
"1618","Biomechanical Foundations Of Motor Skills",26300,"HK",0,0,0
"1619","Descriptive Astronomy: The Solar System",26300,"ASTR",0,0,0
"1620","Fluid Power Systems",26300,"AT",0,0,0
"1621","Descriptive Astronomy: Stars And Galaxies",26400,"ASTR",0,0,0
"1622","Advanced C Programming",26400,"ECE",0,0,0
"1623","Organic Chemistry Laboratory",26400,"CHM",0,0,0
"1624","Principles Of Motor Learning, Development, And Biomechanics",26400,"HK",0,0,0
"1625","The Bible As Literature",26400,"ENGL",0,0,0
"1626","Relief Printmaking",26500,"AD",0,0,0
"1627","Organic Chemistry Laboratory",26500,"CHM",0,0,0
"1628","Teaching The TE Of STEM",26500,"TLI",0,0,0
"1629","Aircraft Electrical Systems",26500,"AT",0,0,0
"1630","Linear Algebra",26500,"MA",0,0,0
"1631","The Inclusive Classroom",26500,"EDPS",0,0,0
"1632","Aircraft Electrical Systems",26502,"AT",0,0,0
"1633","Organic Chemistry",26505,"CHM",0,0,0
"1634","Ordinary Differential Equations",26600,"MA",0,0,0
"1635","Silkscreen Printmaking",26600,"AD",0,0,0
"1636","Organic Chemistry Laboratory",26600,"CHM",0,0,0
"1637","World Literature: From The Beginnings To 1700 A.D.",26600,"ENGL",0,0,0
"1638","World Literature: From The Beginnings To 1700 A D",26600,"CMPL",0,0,0
"1639","Introduction To Health/Fitness Programming",26600,"HK",0,0,0
"1640","Organic Chemistry",26605,"CHM",0,0,0
"1641","World Literature: From 1700 A.D. To The Present",26700,"ENGL",0,0,0
"1642","Organic Chemistry Laboratory Honors",26700,"CHM",0,0,0
"1643","World Literature: From 1700 A D To The Present",26700,"CMPL",0,0,0
"1644","Digital Media I: Photography And Digital Imaging",26700,"AD",0,0,0
"1645","Fixed And Rotary Wing Assemblies",26700,"AT",0,0,0
"1646","Organic Chemistry Laboratory Honors",26800,"CHM",0,0,0
"1647","Digital Media II: Web Design And Time-Based Media",26900,"AD",0,0,0
"1648","Career Development And Preparation For The Health And Fitness Fields",26900,"HK",0,0,0
"1649","Theatrical Materials And Techniques I",27000,"THTR",0,0,0
"1650","Biomedical Ethics",27000,"PHIL",0,0,0
"1651","Basic Mechanics I",27000,"ME",0,0,0
"1652","Constructed Textiles",27000,"AD",0,0,0
"1653","Atomistic Materials Science",27000,"MSE",0,0,0
"1654","Introduction To Digital System Design",27000,"ECE",0,0,0
"1655","Electronics Prototype Development And Construction",27000,"ECET",0,0,0
"1656","Characteristics of Individuals with Mild Disabilities",27000,"EDPS",0,0,0
"1657","Introduction To Educational Technology And Computing",27000,"EDCI",0,0,0
"1658","Forest Soils",27000,"AGRY",0,0,0
"1659","Introductory Structural Mechanics",27000,"CE",0,0,0
"1660","Several Variable Calc-Honors",27100,"MA",0,0,0
"1661","Dyed Textiles",27100,"AD",0,0,0
"1662","Powerplant Propulsion Systems",27100,"AT",0,0,0
"1663","Introduction To African American Studies",27100,"AAS",0,0,0
"1664","Introduction To Colonial Latin American History (1492-1810)",27100,"HIST",0,0,0
"1667","Honors Multivariate Calculus",27101,"MA",0,0,0
"1668","Human-Centered Design And Development Design Learning Studio II",27108,"CGT",0,0,0
"1669","E&M Interactions-Honors",27200,"PHYS",0,0,0
"1671","Introduction To Composite Technology",27200,"AT",0,0,0
"1672","Latin American History From 1824",27200,"HIST",0,0,0
"1673","Gateway To Engineering/Technology Teacher Education",27200,"IT",0,0,0
"1674","Database Fundamentals",27200,"CNIT",0,0,0
"1675","Introduction To Industrial-Organizational Psychology",27200,"PSY",0,0,0
"1677","Human-Centered Design And Development Experience Studio II",27207,"CGT",0,0,0
"1678","Human-Centered Design And Development Programming Learning Studio II",27208,"CGT",0,0,0
"1679","Mechanics Of Materials",27300,"NUCL",0,0,0
"1680","Modern Energy Systems",27300,"ECET",0,0,0
"1681","Wireless Communications",27400,"ECET",0,0,0
"1682","Applied Leadership",27400,"OLS",0,0,0
"1683","Basic Mechanics II",27400,"ME",0,0,0
"1684","The Philosophy Of Art",27500,"PHIL",0,0,0
"1685","Beginning Sculpture",27500,"AD",0,0,0
"1686","Social Gerontology",27500,"SOC",0,0,0
"1687","Exprmntl Dsgn Ag & Biol",27500,"ENTM",0,0,0
"1688","Honors Course - Lower Division",27500,"FS",0,0,0
"1689","Industrial Practice I",27500,"MET",0,0,0
"1691","Construction Plans And Measurements",27500,"BCM",0,0,0
"1692","Teaching The T & E Of STEM",27500,"IT",0,0,0
"1693","Industrial Practice II",27600,"MET",0,0,0
"1694","Shakespeare On Film",27600,"ENGL",0,0,0
"1695","African American Popular Culture",27700,"AAS",0,0,0
"1696","AC And Power Electronics",27700,"ECET",0,0,0
"1697","Nondestructive Testing For Aircraft",27800,"AT",0,0,0
"1698","Sophomore Participation In Vertically Integrated Projects In Electrical And Computer Engineering",27900,"ECE",0,0,0
"1699","Modern Mathematics In Science And Society",27900,"MA",0,0,0
"1700","Embedded Digital Systems",27900,"ECET",0,0,0
"1701","American Deaf Community: Language, Culture, And Society",28000,"ASL",0,0,0
"1702","Modern Israel: Cinema, Literature, Politics And History",28000,"HEBR",0,0,0
"1703","Wmn's Studies: An Intro-Honors",28000,"WGSS",0,0,0
"1705","Topics in Chinese Civilization and Culture",28000,"CHNS",0,0,0
"1706","Arabic Culture",28000,"ARAB",0,0,0
"1707","Hazardous Waste Handling",28000,"NRES",0,0,0
"1709","Studies In Greek Warfare",28000,"CLCS",0,0,0
"1710","Systems Analysis And Design Methods",28000,"CNIT",0,0,0
"1713","Beer And Brewing In Ger Cult",28000,"GER",0,0,0
"1714","Ethics And Animals",28000,"PHIL",0,0,0
"1715","Introduction To Modern Japanese Civilization",28000,"JPNS",0,0,0
"1716","Diversity In Individual And Family Life",28000,"HDFS",0,0,0
"1717","Construction Engineering Professional Development I",28000,"CEM",0,0,0
"1719","Women's Studies: An Introduction",28000,"WOST",0,0,0
"1720","Intro Latin Am & Latino Study",28000,"SPAN",0,0,0
"1721","Cont Frgn Women Writers",28100,"WOST",0,0,0
"1722","Introduction To Islamic Civilization And Culture",28100,"ARAB",0,0,0
"1723","Span Am Lit In Trans",28100,"WGSS",0,0,0
"1728","Professional Internship",28100,"ABE",0,0,0
"1730","Industrial Safety",28100,"IT",0,0,0
"1731","The Italian Renaissance And Its Impact On Western Civilization",28100,"ITAL",0,0,0
"1732","Career Planning In Animal Sciences",28100,"ANSC",0,0,0
"1733","Introduction To Chinese Food Culture",28100,"CHNS",0,0,0
"1734","Introduction To LGBT Studies",28200,"WGSS",0,0,0
"1735","Customer Relations Management",28200,"CSR",0,0,0
"1736","Introduction To LGBT Studies",28200,"ANTH",0,0,0
"1737","Introduction To LGBT Studies",28200,"WOST",0,0,0
"1738","Cooperative Work Experience III",28400,"CHM",0,0,0
"1739","Professional Practice III",28400,"PHYS",0,0,0
"1740","Leadership Principles",28400,"OLS",0,0,0
"1741","Professional Practice III",28400,"CS",0,0,0
"1742","Cooperative Work Experience III",28400,"STAT",0,0,0
"1743","Ancient Near Eastern History And Culture",28400,"HEBR",0,0,0
"1744","Introduction To Industrial Controls",28400,"MET",0,0,0
"1745","Professional Practicum III",28400,"MA",0,0,0
"1746","Professional Practice Part-Time",28401,"CS",0,0,0
"1747","Chinese Calligraphy",28500,"CHNS",0,0,0
"1748","ATC Procedures and Weather",28500,"AT",0,0,0
"1749","Construction Mechanics",28500,"BCM",0,0,0
"1750","World Crop Adaptation And Distribution",28500,"AGRY",0,0,0
"1751","Multiculturalism And Education",28500,"EDCI",0,0,0
"1752","Interior Components And Materials",28500,"AD",0,0,0
"1753","The Movies",28600,"ENGL",0,0,0
"1754","Introduction To Ecology And Evolution",28600,"BIOL",0,0,0
"1755","National Airspace Systems Operations",28600,"AT",0,0,0
"1756","Programming For Business Applications",28800,"MGMT",0,0,0
"1757","Foundational Internship",28900,"AGEC",0,0,0
"1758","Algebra & Trig I Study Strat",29000,"GS",0,0,0
"1760","Intro Machines For Theatre",29000,"THTR",0,0,0
"1761","Program For Business Applictns",29000,"MGMT",0,0,0
"1762","Aviation Projects",29000,"AT",0,0,0
"1763","Holographic Imaging Using DMD",29000,"PHYS",0,0,0
"1766","Integrated Science",29000,"CHM",0,0,0
"1767","Soph Orientn Semnr MSP Schol",29000,"AGR",0,0,0
"1768","Curriculum Development In AgEd",29000,"YDAE",0,0,0
"1771","Distributed Systems Research",29000,"CS",0,0,0
"1773","Experimental Design Seminar",29000,"BCHM",0,0,0
"1777","VFX Using Houdind I",29000,"CGT",0,0,0
"1787","Nanoparticle Exposure Study",29000,"HSCI",0,0,0
"1790","Environmental Ethics",29000,"PHIL",0,0,0
"1791","Topics In Mathematics For Undergraduates",29000,"MA",0,0,0
"1792","Professional Internship",29000,"IDE",0,0,0
"1795","Introduction to Environmental And Ecological Engineering Seminar",29000,"EEE",0,0,0
"1796","Construction Engineering Seminar",29000,"CEM",0,0,0
"1797","Big Data Analysis",29000,"STAT",0,0,0
"1800","Biowall Research",29000,"MET",0,0,0
"1811","Introduction To Environmental Science",29000,"AGRY",0,0,0
"1854","Analog I Lab Assistant",29000,"ECET",0,0,0
"1859","Introduction To Environmental Science",29000,"NRES",0,0,0
"1864","Internship Strategies",29000,"AD",0,0,0
"1889","Sophomore Seminar",29000,"ABE",0,0,0
"1896","Global Engineering Professional Seminar",29000,"ME",0,0,0
"1897","Academics Success Skills",29001,"GS",0,0,0
"1898","Professional Internship",29050,"MGMT",0,0,0
"1899","Corn Protein Analysis Lab I",29100,"FS",0,0,0
"1904","Industrial Practice I",29100,"CGT",0,0,0
"1907","Sophomore Development Seminar",29100,"CS",0,0,0
"1910","Construction Internship II",29100,"CEM",0,0,0
"1917","Industrial Practice I",29100,"IT",0,0,0
"1918","Industrial Practice I",29100,"NUCL",0,0,0
"1919","Industrial Practice I",29100,"IDE",0,0,0
"1923","Quantity Food Production And Service",29100,"HTM",0,0,0
"1927","Quantity Food Production And Service Laboratory",29101,"HTM",0,0,0
"1928","Introduction To Foodservice Ma",29102,"HTM",0,0,0
"1929","Professional Practice Extensive Co-Op I",29199,"TECH",0,0,0
"1930","Professional Practice Extensive I",29199,"ENGR",0,0,0
"1931","Professional Practice Extensive Co-Op I",29199,"ABE",0,0,0
"1932","Professional Practice Extensive Co-Op I",29199,"MSE",0,0,0
"1933","Professional Practice Extensive Co-Op I",29199,"EEE",0,0,0
"1934","Professional Practice Extensive Co-Op I",29199,"CHE",0,0,0
"1935","Professional Practice Extensive Co-Op I",29199,"CE",0,0,0
"1936","Professional Practice Extensive Co-Op I",29199,"AAE",0,0,0
"1937","Professional Practice Extensive Co-Op I",29199,"IE",0,0,0
"1938","Professional Practice Extensive Co-Op I",29199,"NUCL",0,0,0
"1939","Professional Practice Extensive Co-Op I",29199,"ECE",0,0,0
"1940","Professional Practice Extensive Co-Op I",29199,"ME",0,0,0
"1941","Industrial Practice II",29200,"CGT",0,0,0
"1942","Industrial Practice II",29200,"IT",0,0,0
"1943","Muscle Team Cell Culture",29200,"ANSC",0,0,0
"1944","Intro To Neuropsychology",29200,"PSY",0,0,0
"1947","Industrial Practice II",29200,"IDE",0,0,0
"1950","Industrial Practice II",29200,"NUCL",0,0,0
"1952","Contemporary Issues In Civil Engineering",29201,"CE",0,0,0
"1953","Contemporary Issues In Civil Engineering",29202,"CE",0,0,0
"1954","Professional Practice Extensive Co-Op II",29299,"CHE",0,0,0
"1955","Professional Practice Extensive Co-Op II",29299,"EEE",0,0,0
"1956","Professional Practice Extensive Co-Op II",29299,"TECH",0,0,0
"1957","Professional Practice Extensive Co-Op II",29299,"CE",0,0,0
"1958","Professional Practice Extensive Co-Op II",29299,"ME",0,0,0
"1959","Professional Practice Extensive Co-Op II",29299,"ABE",0,0,0
"1960","Professional Practice Extensive II",29299,"ENGR",0,0,0
"1961","Professional Practice Extensive Co-Op II",29299,"NUCL",0,0,0
"1962","Professional Practice Extensive II",29299,"MSE",0,0,0
"1963","Professional Practice Extensive Co-Op II",29299,"IE",0,0,0
"1964","Professional Practice Extensive Co-Op II",29299,"ECE",0,0,0
"1965","Professional Practice Extensive Co-Op II",29299,"AAE",0,0,0
"1966","Animal Rehabilitation",29300,"ANSC",0,0,0
"1975","Science And Religion",29300,"PHIL",0,0,0
"1981","Sophomore Seminar: Planning Your Future In Biology",29300,"BIOL",0,0,0
"1985","Industrial Practice I",29300,"AT",0,0,0
"1997","Endocytosis & Development",29400,"BIOL",0,0,0
"2017","Readings Quiet",29400,"AGR",0,0,0
"2074","Sophomore Chemistry Seminar",29400,"CHM",0,0,0
"2110","Reading Efficiency",29400,"GS",0,0,0
"2162","Teach Microbiology",29500,"BIOL",0,0,0
"2165","Special Topics In Animal Sciences",29500,"ANSC",0,0,0
"2168","Cultural Exchange Research I",29500,"HONR",0,0,0
"2183","BME Frontiers",29500,"BME",0,0,0
"2189","Effective Study Methods",29500,"GS",0,0,0
"2192","Professional Career Management",29500,"MGMT",0,0,0
"2197","Arthropod Pets: Care & Biology",29500,"ENTM",0,0,0
"2220","Outreach Assistance As Service Learning",29500,"PHYS",0,0,0
"2221","School Of Health Sciences Sophomore Honors Seminar",29501,"HSCI",0,0,0
"2222","Selected Topics In Electrical And Computer Engineering",29595,"ECE",0,0,0
"2223","Surf Research",29600,"BME",0,0,0
"2225","Adaptive Electronics",29600,"ECE",0,0,0
"2255","360 Agribusiness Industry View",29600,"AGEC",0,0,0
"2357","School of Health Sciences Sophomore Honors Project",29601,"HSCI",0,0,0
"2358","Professional Practice Internship I",29699,"CHE",0,0,0
"2359","Introduction To Honors Research",29700,"HDFS",0,0,0
"2360","Analysis Of Soft Materials",29700,"ME",0,0,0
"2371","Introduction To Honors Research",29700,"FN",0,0,0
"2375","Electronic Prototype Development",29700,"ECET",0,0,0
"2376","Introduction To Honors Research",29700,"HTM",0,0,0
"2390","Introduction To Honors Research",29700,"NUTR",0,0,0
"2396","Basic Mechanics I (Statics)",29700,"CE",0,0,0
"2407","Global Engineering Orientation - GEARE",29701,"ENGR",0,0,0
"2409","Basic Mechanics II Dynamics",29800,"CE",0,0,0
"2410","Lab in Ecol & Sys of Rep & Amp",29800,"FNR",0,0,0
"2411","Sophomore Seminar",29800,"NUCL",0,0,0
"2412","Sophomore Seminar",29800,"FS",0,0,0
"2414","Sophomore Seminar",29800,"AGEC",0,0,0
"2416","Introduction To Biochemistry Research",29800,"BCHM",0,0,0
"2418","Russian Fairy Tales",29800,"RUSS",0,0,0
"2419","Head Start To Introductory Biochemistry Research",29801,"BCHM",0,0,0
"2420","ENGT Freshmen Experience",29900,"ECET",0,0,0
"2423","Summer Internship",29900,"MET",0,0,0
"2424","The Human Redesign",29900,"HONR",0,0,0
"2425","Blade Injection Mold",29900,"MFET",0,0,0
"2430","Global Ldrshp In Germany",29900,"OLS",0,0,0
"2441","Tpcs Humanities & Technology",29900,"TECH",0,0,0
"2447","TLI Learning Community",29900,"TLI",0,0,0
"2474","Topics In Computer And Information Technology",29900,"CNIT",0,0,0
"2525","Structural Mech Supp",29900,"CE",0,0,0
"2567","Environmental And Ecological Systems Modeling",30000,"EEE",0,0,0
"2568","Applications Of Automation In Manufacturing",30000,"MFET",0,0,0
"2569","Chemical Engineering Seminar",30000,"CHE",0,0,0
"2570","Field Experience In Retail Management",30000,"CSR",0,0,0
"2571","Honors Program Seminar",30000,"IE",0,0,0
"2572","Semester Internship Experience In Hospitality And Tourism",30000,"HTM",0,0,0
"2573","Management Of Human Resources",30000,"OBHR",0,0,0
"2574","Liberal Arts Influentials",30000,"GS",0,0,0
"2575","Intro Polit Analysis-Honors",30000,"POL",0,0,0
"2576","Thermodynamics II",30000,"ME",0,0,0
"2577","Undergraduate Junior Seminar",30000,"AAE",0,0,0
"2578","Global Aviation Systems",30000,"AT",0,0,0
"2579","Life Drawing II",30000,"AD",0,0,0
"2580","Student Leadership Development",30000,"EDPS",0,0,0
"2582","Global Design Team III",30000,"GEP",0,0,0
"2583","Eve Of Destruction: Global Crises And World Organization In The 20th Century",30000,"HIST",0,0,0
"2584","Nuclear Structure And Radiation Interactions",30000,"NUCL",0,0,0
"2585","Liberal Arts Influentials",30000,"SCLA",0,0,0
"2586","American University Cairo",30001,"SA",0,0,0
"2587","Accademia Italiana Florence",30002,"SA",0,0,0
"2588","CAPA-Florence",30004,"SA",0,0,0
"2589","CIMBA",30008,"SA",0,0,0
"2590","College Year In Athens CYA",30009,"SA",0,0,0
"2591","Complutense University Madrid",30010,"SA",0,0,0
"2592","Freiburg University Program",30011,"SA",0,0,0
"2593","Hansard Scholars Internship Program",30012,"SA",0,0,0
"2594","Studio Art Centers International SACI",30016,"SA",0,0,0
"2595","Semester At Sea",30017,"SA",0,0,0
"2596","Siena Summer School In Italian Deaf Culture",30018,"SA",0,0,0
"2597","SIT-Public Health And Traditional Chinese Medicine",30019,"SA",0,0,0
"2598","University Of Minnesota At Toledo",30021,"SA",0,0,0
"2599","University Of Minnesota Program At Montpellier",30022,"SA",0,0,0
"2600","Sponsored Hotel Internship And Study Abroad In China",30026,"SA",0,0,0
"2601","Study Abroad In Italy - Milan",30027,"SA",0,0,0
"2602","FU-BEST Berlin",30028,"SA",0,0,0
"2603","ACTR Russian Language",30030,"SA",0,0,0
"2604","London College Of Fashion",30031,"SA",0,0,0
"2605","Direct Enroll City U Hong Kong",30033,"SA",0,0,0
"2606","CAPA London",30034,"SA",0,0,0
"2607","University Of Minnesota In Morocco",30036,"SA",0,0,0
"2608","Academic Year In Freiburg",30042,"SA",0,0,0
"2609","Neuroscience In Salamanca",30044,"SA",0,0,0
"2610","SEA Summer In The Pacific",30047,"SA",0,0,0
"2611","SIT Geoscience In The Himalayas",30048,"SA",0,0,0
"2612","SEA Summer In The Atlantic",30049,"SA",0,0,0
"2613","FZD School Of Design",30050,"SA",0,0,0
"2614","Student Teach Abroad Germany",30051,"SA",0,0,0
"2616","Contmp Issue Asia Amer Studies",30100,"AMST",0,0,0
"2621","Human Design: Anatomy And Physiology",30100,"BIOL",0,0,0
"2625","Chinese Level V",30100,"CHNS",0,0,0
"2626","Italian Level V",30100,"ITAL",0,0,0
"2627","Wood Products And Processing",30100,"FNR",0,0,0
"2628","Elementary Statistical Methods",30100,"STAT",0,0,0
"2629","Diversity In Individual And Family Life",30100,"HDFS",0,0,0
"2630","History Of Ancient Philosophy",30100,"PHIL",0,0,0
"2631","Ways Of Reading",30100,"ENGL",0,0,0
"2632","Seminar For Veterinary Technologists I",30100,"VM",0,0,0
"2633","Numerical And Computational Modeling In Biological Engineering",30100,"ABE",0,0,0
"2635","Professional Preparation In Interdisciplinary Engineering",30100,"IDE",0,0,0
"2636","Russian Level V",30100,"RUSS",0,0,0
"2640","Project Control And Life Cycle Execution Of Constructed Facilities",30100,"CEM",0,0,0
"2641","Plant Physiology",30100,"HORT",0,0,0
"2644","Oil !",30100,"EAS",0,0,0
"2645","Standard Arabic Level V",30100,"ARAB",0,0,0
"2646","Spanish Level V",30100,"SPAN",0,0,0
"2651","Introduction To Cognitive Neuroscience",30100,"SLHS",0,0,0
"2652","Portuguese Level V",30100,"PTGS",0,0,0
"2653","Cooperative Seminar II",30100,"CHE",0,0,0
"2654","French Level V",30100,"FR",0,0,0
"2657","Introductory Plant Pathology",30100,"BTNY",0,0,0
"2658","Animal Growth, Development, And Evaluation",30100,"ANSC",0,0,0
"2659","Peer Counseling Training",30100,"EDPS",0,0,0
"2660","Clinical Practice In Athletic Training - Associate",30100,"HK",0,0,0
"2661","Bioelectricity",30100,"BME",0,0,0
"2663","German Level V",30100,"GER",0,0,0
"2666","Modern Dance Techniques III",30100,"DANC",0,0,0
"2667","Diversity In Individual And Family Life",30100,"CDFS",0,0,0
"2671","Agroecology",30100,"SFS",0,0,0
"2673","Oil !",30100,"EAPS",0,0,0
"2674","An Introduction To Proof Through Real Analysis",30100,"MA",0,0,0
"2675","Leadership And Problem Solving",30100,"MSL",0,0,0
"2676","Junior Participation In EPICS",30100,"EPCS",0,0,0
"2679","Japanese Level V",30100,"JPNS",0,0,0
"2681","Professional Career Management",30100,"MGMT",0,0,0
"2682","Signals And Systems",30100,"ECE",0,0,0
"2687","Signal Analysis For Aerospace Engineering",30100,"AAE",0,0,0
"2688","Introduction To Construction Company Financial Management",30101,"BCM",0,0,0
"2689","Sustainable Forest Products Manufacturing",30110,"FNR",0,0,0
"2690","Principles Of Sustainability",30200,"SFS",0,0,0
"2691","Russian Level VI",30200,"RUSS",0,0,0
"2692","Probabilistic Methods In Electrical And Computer Engineering",30200,"ECE",0,0,0
"2693","Conquistadors",30200,"HIST",0,0,0
"2699","Chinese Level VI",30200,"CHNS",0,0,0
"2700","CAD In The Enterprise",30200,"MET",0,0,0
"2702","Adult Nursing I",30200,"NUR",0,0,0
"2704","Spanish Level VI",30200,"SPAN",0,0,0
"2705","Human Design: Anatomy And Physiology",30200,"BIOL",0,0,0
"2707","Italian Level VI",30200,"ITAL",0,0,0
"2711","Global Sustainability Issues",30200,"FNR",0,0,0
"2712","Hist Medieval Philos-Honors",30200,"PHIL",0,0,0
"2713","Junior Participation In EPICS",30200,"EPCS",0,0,0
"2716","French Level VI",30200,"FR",0,0,0
"2717","Acoustic Bases Of Speech And Hearing",30200,"SLHS",0,0,0
"2718","Plant Ecology",30200,"BTNY",0,0,0
"2721","Theory And Practice Of Elementary School Art",30200,"AD",0,0,0
"2722","Integrated Laboratory II",30200,"PHRM",0,0,0
"2723","Applied Clinical Anatomy",30200,"HK",0,0,0
"2730","Japanese Level VI",30200,"JPNS",0,0,0
"2732","Hospitality And Tourism Industry Internship",30200,"HTM",0,0,0
"2735","Practical Applications For Construction Engineering",30200,"CEM",0,0,0
"2737","Standard Arabic Level VI",30200,"ARAB",0,0,0
"2745","Introduction To Control Systems",30200,"ECET",0,0,0
"2747","Leadership And Ethics",30200,"MSL",0,0,0
"2753","German Level VI",30200,"GER",0,0,0
"2754","Portuguese Level VI",30200,"PTGS",0,0,0
"2756","Introduction To Industrial Controls",30201,"ECET",0,0,0
"2757","History Of Modern Philosophy",30300,"PHIL",0,0,0
"2758","Art in Middle/Junior High Schools",30300,"AD",0,0,0
"2759","Anatomy And Physiology Of The Speech Mechanism",30300,"SLHS",0,0,0
"2760","Essentials Of Nutrition",30300,"FN",0,0,0
"2761","Essentials Of Nutrition",30300,"NUTR",0,0,0
"2762","Intercultural Communication",30300,"COM",0,0,0
"2763","Adult Nursing I - Clinic",30300,"NUR",0,0,0
"2764","Applications Of Physical Chemistry To Biological Processes",30300,"ABE",0,0,0
"2765","Athletic Training Modalities",30300,"HK",0,0,0
"2766","Differential Equations and Partial Differential Equations for Engineering and the Sciences",30300,"MA",0,0,0
"2767","Animal Behavior",30300,"ANSC",0,0,0
"2768","Engineering Surveying",30300,"CE",0,0,0
"2769","Anatomy And Physiology Of The Speech And Hearing Mechanism",30400,"SLHS",0,0,0
"2770","Bioprocess Engineering Laboratory",30400,"ABE",0,0,0
"2771","Introductory Weed Science",30400,"BTNY",0,0,0
"2772","America In The 1960s",30400,"HIST",0,0,0
"2773","Nineteenth-Century Philosophy",30400,"PHIL",0,0,0
"2774","Introduction To Financial Management",30400,"MGMT",0,0,0
"2775","Introduction To Communication Systems",30400,"ECET",0,0,0
"2776","Psychosocial Nursing",30400,"NUR",0,0,0
"2777","Differential Equations And Analysis Of Nonlinear Systems For Engineering And The Sciences",30400,"MA",0,0,0
"2778","Video Art",30400,"AD",0,0,0
"2779","Quantitative Methods For Communication Research",30400,"COM",0,0,0
"2780","Biomedical Transport Fundamentals",30400,"BME",0,0,0
"2781","Therapeutic Exercise",30400,"HK",0,0,0
"2782","Advanced Composition",30400,"ENGL",0,0,0
"2783","Physical Properties Of Biological Materials",30500,"ABE",0,0,0
"2784","Industrial Design I",30500,"AD",0,0,0
"2785","Biological Chemistry II",30500,"MCMP",0,0,0
"2786","Spanish For Heritage Speakers",30500,"SPAN",0,0,0
"2787","Agricultural Prices",30500,"AGEC",0,0,0
"2788","Basics Of Oncology",30500,"HSCI",0,0,0
"2789","Injury Assessment I",30500,"HK",0,0,0
"2790","Seed Analysis And Grain Grading",30500,"AGRY",0,0,0
"2791","Psychosocial Nursing - Clinic",30500,"NUR",0,0,0
"2792","Bioinstrumentation Circuit And Measurement Principles",30500,"BME",0,0,0
"2793","Conservation Genetics",30500,"FNR",0,0,0
"2794","Fundamentals Of Plant Classification",30500,"BTNY",0,0,0
"2795","Semiconductor Devices",30500,"ECE",0,0,0
"2796","Biosocial Foundations Of The Family",30500,"HDFS",0,0,0
"2797","Business Statistics",30500,"MGMT",0,0,0
"2799","Nuclear Engineering Undergraduate Laboratory II",30500,"NUCL",0,0,0
"2800","Biosocial Foundations Of The Family",30500,"CDFS",0,0,0
"2801","The United States In The World 1898-Present",30505,"HIST",0,0,0
"2802","Management Science",30600,"MGMT",0,0,0
"2803","Design Of Staged Separation Processes",30600,"CHE",0,0,0
"2804","Twentieth-Century Philosophy",30600,"PHIL",0,0,0
"2805","Introduction To Phonetics",30600,"SLHS",0,0,0
"2806","Analysis Of Survey Observations",30600,"CE",0,0,0
"2807","Introduction To Professional Writing",30600,"ENGL",0,0,0
"2808","Mathematical Methods Of Physics I",30600,"PHYS",0,0,0
"2809","Adult Nursing II",30600,"NUR",0,0,0
"2810","History Of Horticulture",30600,"HORT",0,0,0
"2811","Biotransport Laboratory",30600,"BME",0,0,0
"2812","Industrial Design II",30600,"AD",0,0,0
"2813","Electronic Circuits And Systems Laboratory",30600,"ECE",0,0,0
"2814","Injury Assessment II",30600,"HK",0,0,0
"2815","Understanding And Analyzing Experiments",30600,"PSY",0,0,0
"2816","The Development Of Contemporary Anthropological Theory",30700,"ANTH",0,0,0
"2817","Mathematical Methods Of Physics II",30700,"PHYS",0,0,0
"2818","Advanced Aircraft Systems",30700,"AT",0,0,0
"2819","Software Engineering I",30700,"CS",0,0,0
"2820","Electromagnetic Fields And Waves Laboratory",30700,"ECE",0,0,0
"2821","Momentum Transfer In Food And Biological Systems",30700,"ABE",0,0,0
"2822","Adult Nursing II - Clinic",30700,"NUR",0,0,0
"2823","Field Experience In Selling And Sales Management",30700,"CSR",0,0,0
"2824","Biochemistry",30700,"BCHM",0,0,0
"2825","Analog Network Signal Processing",30700,"ECET",0,0,0
"2826","History Of Contemporary Photography",30701,"AD",0,0,0
"2827","Advanced Aircraft Systems",30702,"AT",0,0,0
"2828","Aircraft Materials Processes",30800,"AT",0,0,0
"2829","Systems Simulation And Control Laboratory",30800,"ECE",0,0,0
"2830","Deep Immersion",30800,"PTEC",0,0,0
"2831","Heat And Mass Transfer In Food And Biological Systems",30800,"ABE",0,0,0
"2832","Prepress Production And Design",30800,"CGT",0,0,0
"2833","Advanced Spanish For Heritage Speakers",30801,"SPAN",0,0,0
